player,stock,percent,position x,position y,character,action,action frame,facing,shield_strength,jumps_left,on_ground,invulnerable,speed air x self,speed ground x self,speed x attack,speed y attack,speed y self
1,4,28,47.264904,2.031596,Character.FOX,Action.DAMAGE_NEUTRAL_2,1,True,60.0,1,False,False,0.0,0.0,-0.3225934,0.886318,0.0
2,4,12,57.864147,1e-04,Character.FALCO,Action.NEUTRAL_ATTACK_1,3,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
1,4,28,47.264904,2.031596,Character.FOX,Action.DAMAGE_NEUTRAL_2,1,True,60.0,1,False,False,0.0,0.0,-0.3225934,0.886318,0.0
2,4,12,57.864147,1e-04,Character.FALCO,Action.NEUTRAL_ATTACK_1,3,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
1,4,28,50.04272,3.7089257,Character.FOX,Action.DAMAGE_NEUTRAL_2,2,True,60.0,1,False,False,0.0,0.0,-0.033205584,0.8915818,-0.23
2,4,12,57.864147,1e-04,Character.FALCO,Action.NEUTRAL_ATTACK_1,4,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
1,4,28,50.011414,4.089543,Character.FOX,Action.DAMAGE_NEUTRAL_2,3,True,60.0,1,False,False,0.0,0.0,-0.031307485,0.8406171,-0.46
2,4,12,57.864147,1e-04,Character.FALCO,Action.NEUTRAL_ATTACK_1,5,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
1,4,28,49.982006,4.189195,Character.FOX,Action.DAMAGE_NEUTRAL_2,4,True,60.0,1,False,False,0.0,0.0,-0.029409384,0.78965247,-0.69
2,4,12,57.864147,1e-04,Character.FALCO,Action.NEUTRAL_ATTACK_1,6,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
1,4,28,49.954494,4.007883,Character.FOX,Action.DAMAGE_NEUTRAL_2,5,True,60.0,1,False,False,0.0,0.0,-0.027511284,0.7386878,-0.92
2,4,12,57.864147,1e-04,Character.FALCO,Action.NEUTRAL_ATTACK_1,7,False,60.0,2,True,False,0.0,0.0,0.0,0.0,0.0
